"Product Code","Product Name",Variant,Expected,Counted
001,"Decorative paint",,10.0000,
002,Varnishes,,0.0000,
003,"Water Proofing solutions",,0.0000,
004,"Textured coatings",,0.0000,
005,"Industrial Flooring",,0.0000,
006,"Road Marking",,0.0000,
